value,type
-2.983749657318396,variable 2
-2.9465581478206686,variable 2
-2.8094636549484484,variable 2
-2.9878479652150207,variable 2
-2.981133365585552,variable 2
-2.8598393337190875,variable 2
-2.9904870647728647,variable 2
-2.990860567959766,variable 2
-2.963890419879708,variable 2
-2.946476460342329,variable 2
-2.883835292936576,variable 2
-2.9487211722864632,variable 2
-2.947283096513854,variable 2
-2.978309297220143,variable 2
-2.9039947551450886,variable 2
-2.932680686711014,variable 2
-2.9831409141977256,variable 2
-2.8827311682088954,variable 2
-2.9573110285260586,variable 2
-2.7753121986125118,variable 2
-2.8382543347289877,variable 2
-2.894792459144567,variable 2
-2.8396321762618357,variable 2
-2.9036499607281185,variable 2
-2.950661017664046,variable 2
-2.799285813357542,variable 2
-2.993961069301987,variable 2
-2.992878812651,variable 2
-2.994373804753771,variable 2
-2.9981194918224743,variable 2
-2.98924188490609,variable 2
-2.9804223756859245,variable 2
-2.9354725943061974,variable 2
-2.98817674390627,variable 2
-2.9834304045541398,variable 2
-2.9828198473120358,variable 2
-2.993152133069442,variable 2
-2.877452742904634,variable 2
-2.8906892648112534,variable 2
-2.9272594269811734,variable 2
-2.8755837047305732,variable 2
-2.9685224262366647,variable 2
-2.9498856585048605,variable 2
-2.7902496752920967,variable 2
-2.8864551197009622,variable 2
-2.7519105053335564,variable 2
-2.97564443316135,variable 2
-2.9688011503669296,variable 2
-2.9051516890192794,variable 2
-2.879834725703512,variable 2
-2.9630099593845074,variable 2
-2.901714569133976,variable 2
-2.9775495784758914,variable 2
-2.9665164918823925,variable 2
-2.9263084106030877,variable 2
-2.989909341617604,variable 2
-2.9956770675238418,variable 2
-2.996388788480208,variable 2
-2.92240273520282,variable 2
-2.9300058207271222,variable 2
-2.9900239794583476,variable 2
-2.986909120390824,variable 2
-2.998021472320257,variable 2
-2.2703884043234916,variable 2
-2.9906565821331643,variable 2
-2.978945450196617,variable 2
-2.944286290702718,variable 2
-2.856912296107422,variable 2
-2.9585771723514886,variable 2
-2.9802677466874123,variable 2
-2.908749363025708,variable 2
-2.931192952843678,variable 2
-2.92509771192771,variable 2
-2.984291810014081,variable 2
-2.882358004782045,variable 2
-2.9715771274150007,variable 2
-2.8066855995741475,variable 2
-2.953622347181313,variable 2
-2.9715447853121644,variable 2
-2.884934445333172,variable 2
-2.930758541941334,variable 2
-2.9865065524494434,variable 2
-2.8397521778894155,variable 2
-2.845412415708905,variable 2
-2.911602564861112,variable 2
-2.8302207433160365,variable 2
-2.997894316803026,variable 2
-2.9183843090934776,variable 2
-2.941521443659465,variable 2
-2.9885931595352178,variable 2
-2.992821603802705,variable 2
-2.991718760333082,variable 2
-2.992965044260959,variable 2
-2.9432903194252193,variable 2
-2.7665925296966725,variable 2
-2.88519009568394,variable 2
-2.9187035499279568,variable 2
-2.939513578669603,variable 2
-2.979767315444363,variable 2
-2.9967608028309307,variable 2
-2.9834805444527963,variable 2
-2.987657064922295,variable 2
-2.9247761424007463,variable 2
-2.9263815067331707,variable 2
-2.9401759003278736,variable 2
-2.9766813808371397,variable 2
-2.9663258138811797,variable 2
-2.95247627163115,variable 2
-2.924162654091947,variable 2
-2.8559081460928892,variable 2
-2.980885537351015,variable 2
-2.979947780522487,variable 2
-2.9917727664338924,variable 2
-2.9751354420646545,variable 2
-2.6427776482905414,variable 2
-2.993861937149228,variable 2
-2.970848343059891,variable 2
-2.9008446163864217,variable 2
-2.9972241973652696,variable 2
-2.9980829237154074,variable 2
-2.994752172585635,variable 2
-2.9829618339281243,variable 2
-2.9791336567456796,variable 2
-2.989120977410771,variable 2
-2.991022609326433,variable 2
-2.9864805264477803,variable 2
-2.983265511175434,variable 2
-2.912480672804274,variable 2
-2.985864699425484,variable 2
-2.9779907880786576,variable 2
-2.7319561318993015,variable 2
-2.9940559635207378,variable 2
-2.9973755776468893,variable 2
-2.9453677278575516,variable 2
-2.9430624845426747,variable 2
-2.951895846938105,variable 2
-2.8100725507702657,variable 2
-2.927474283856899,variable 2
-2.929284342167492,variable 2
-2.9832041451974876,variable 2
-2.9447881411120482,variable 2
-2.962211691474408,variable 2
-2.9543161143003753,variable 2
-2.963035880404132,variable 2
-2.8957328039394015,variable 2
-2.9874474682829404,variable 2
-2.9927252465160934,variable 2
-2.5875258282283276,variable 2
-2.897595897107888,variable 2
-2.7300757007881358,variable 2
-2.9520580613660714,variable 2
-2.9776613313784113,variable 2
-2.972942195496941,variable 2
-2.997390107160982,variable 2
-2.9952847262645594,variable 2
-2.9948129031041226,variable 2
-2.9006536540588552,variable 2
-2.945508747366379,variable 2
-2.961190330529555,variable 2
-2.9158801820790576,variable 2
-2.957997754213501,variable 2
-2.959723582571664,variable 2
-2.972003182701483,variable 2
-2.966674805989043,variable 2
-2.7983979913945687,variable 2
-2.9613605732203006,variable 2
-2.831120650143185,variable 2
-2.9911535336988373,variable 2
-2.954042221888889,variable 2
-2.9854215974419462,variable 2
-2.945445452741139,variable 2
-2.982550754806589,variable 2
-2.889175252030981,variable 2
-2.956201626065001,variable 2
-2.9538489365951306,variable 2
-2.9656975663703133,variable 2
-2.994204595817975,variable 2
-2.8702580852282105,variable 2
-2.934693364172947,variable 2
-2.991823348688683,variable 2
-2.9895218880675207,variable 2
-2.966883624806932,variable 2
-2.8845344017326204,variable 2
-2.9594292320240703,variable 2
-2.9570957676285494,variable 2
-2.9879120500686938,variable 2
-2.9865832052437313,variable 2
-2.983256524235769,variable 2
-2.992803878539929,variable 2
-2.9914589498304527,variable 2
-2.9928239749651957,variable 2
-2.9809327029176518,variable 2
-2.9529338183478315,variable 2
-2.9799563699619798,variable 2
-2.9835855990240856,variable 2
-2.9032979368662417,variable 2
-2.969597983124847,variable 2
-2.980059027125268,variable 2
-2.9695025449082615,variable 2
-2.9211613226005806,variable 2
-2.923607346828743,variable 2
-2.9939255891905887,variable 2
-2.9862779359279052,variable 2
-2.9974484962618893,variable 2
-2.8614047590666347,variable 2
-2.9621069420668165,variable 2
-2.9883450360784645,variable 2
-2.5599789867713656,variable 2
-2.887329015637499,variable 2
-2.886958899871032,variable 2
-2.9727591373624724,variable 2
-2.98666675313104,variable 2
-2.9757254029443008,variable 2
-2.983787450852164,variable 2
-2.991851741558117,variable 2
-2.94923124501628,variable 2
-2.911075304503807,variable 2
-2.988459342430469,variable 2
-2.9172575655084665,variable 2
-2.9335588137418194,variable 2
-2.8567109405580693,variable 2
-2.979398679924635,variable 2
-2.9635275462832427,variable 2
-2.943255317459286,variable 2
-2.9889252641687833,variable 2
-2.9826211710315502,variable 2
-2.9771771709197163,variable 2
-2.9426346789193008,variable 2
-2.9900250660224432,variable 2
-2.987734561708545,variable 2
-2.9462704254572167,variable 2
-2.904572967580273,variable 2
-2.757221323959164,variable 2
-2.617235088913727,variable 2
-2.9847707555695577,variable 2
-2.947691705694344,variable 2
-2.9809624758236977,variable 2
-2.9770279513593203,variable 2
-2.9345640415719445,variable 2
-2.9496858999549986,variable 2
-2.693416295137205,variable 2
-2.997484016457338,variable 2
-2.7632065965081978,variable 2
-2.923752791489546,variable 2
-2.809128070319379,variable 2
-2.967938312538421,variable 2
-2.95018246181462,variable 2
-2.9977880768890874,variable 2
